drone_array,,,
Serial Number,,11111,18696011833
FAA Assigned Number,,ID_ONE,FA3CF77H93
Advertising Address,,,NanjingQinhe_8d:d7:2b (e0:4e:7a:8d:d7:2b)
UA type,,Helicopter (or Multirotor) (2),Helicopter (or Multirotor) (2)
Operator ID,,Team 1,Team 10
Affiliation,,EMS,Team 10 Capstone
Operational Status,,On Ground (1),On Ground (1)
Speed Multiplier,,0.25 (0),0.25 (0)
Direction,,181,181
Speed,,0,0
Vert Speed,,0,0
Latitude,,15,355359368
Longitude,,-15,-825208879
Pressure Altitude,,3113,3347
Geodetic Altitude,,3277,3298
Height AGL,,1991,1999
Horizontal Accuracy,,30 m (9),30 m (9)
Vertical Accuracy,,45 m (2),45 m (2)
Baro Accuracy,,45 m (2),45 m (2)
Speed Accuracy,,1 m/s (3),1 m/s (3)
Time_stamp,,0.05574,7.802606
Drone Name,,Thermal,remoteID test Module
